tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,11,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,16241
2021,11,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,40391
2021,11,Angkutan Umum Integrasi,1A,PIK - Balai Kota,82972
2021,11,Angkutan Umum Integrasi,12A,Pelabuhan Kaliadem - Kota,1463
2021,11,Angkutan Umum Integrasi,12B,Pluit - Senen,10187
2021,11,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,11353
2021,11,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,59155
2021,11,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,34498
2021,11,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,4
2021,11,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,3
2021,10,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,31197
2021,10,Mikrotrans,JAK.85,Bintara - Cipinang Indah,30711
2021,10,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40186
2021,10,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,61883
2021,10,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,66616
2021,10,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,50363
2021,10,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,50676
2021,10,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,75846
2021,10,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,97831
2021,10,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,57649
2021,10,Mikrotrans,JAK.64,Lenteng Agung - Aseli,52926
2021,10,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,35233
2021,10,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,69665
2021,10,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,72106
2021,10,Mikrotrans,JAK.58,Cilingcing - Rorotan,91654
2021,10,Mikrotrans,JAK.56,Grogol - Srengseng,49293
2021,10,Mikrotrans,JAK.54,Grogol - Benhil,41815
2021,10,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,46344
2021,10,Mikrotrans,JAK.52,Kalideres - Muara Angke,65266
2021,10,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,104140
2021,10,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,69097
2021,10,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,44014
2021,10,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,50597
2021,10,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,83425
2021,10,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,48167
2021,10,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64885
2021,10,Mikrotrans,JAK.43,Tongtek - Cililitan,94923
2021,10,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,71096
2021,10,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,46177
2021,10,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,41534
2021,10,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,63975
2021,10,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,46304
2021,10,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,59214
2021,10,Mikrotrans,JAK.36,Cilangkap - Cililitan,64162
2021,10,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,32715
2021,10,Mikrotrans,JAK.34,Rawamangun - Klender,69978
2021,10,Mikrotrans,JAK.33,Pulo Gadung - Kota,51615
2021,10,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,79962
2021,10,Mikrotrans,JAK.31,Blok M - Andara,60715
2021,10,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,133054
2021,10,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,117647
2021,10,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,62587
2021,10,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,51771
2021,10,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43232
2021,10,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,49474
2021,10,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,80125
2021,10,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,20483
2021,10,Mikrotrans,JAK.21,Cililitan - Dwikora,73032
2021,10,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,53380
2021,10,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,99743
2021,10,Mikrotrans,JAK.18,Kalibata - Kuningan,36622
2021,10,Mikrotrans,JAK.17,Senen - Pulo Gadung,51089
